phrasing_type,n,word_count_median,semantic_divergence_mean,lexical_instability_mean,core_sensitivity_mean,claim_risk_proxy_mean,recommendation_instability_mean,recommendation_proxy_coverage,token_ceiling_rate
Direct Question,299,427.0,0.06220843086499712,0.8035997061545538,0.3646022985371958,0.6959866220735785,0.9844356091129516,0.9866220735785953,0.14381270903010032
Conversational,297,455.0,0.09223751776591398,0.8202283584548886,0.4148144172486363,0.8080808080808081,0.9841779538584422,0.9730639730639731,0.28619528619528617
Formal/Professional,300,542.0,0.20119319127322066,0.8634116342751501,0.6364901984464142,0.854,0.993979730661689,0.9966666666666667,0.43
Informal,300,237.0,0.13016394132725448,0.8397259261934186,0.5439280184257475,0.7016666666666667,0.9844962306512268,0.8933333333333333,0.006666666666666667
Conditional,300,407.5,0.17603857035529563,0.8469732961036439,0.5338375747529295,0.7656666666666666,0.9941789762979378,0.9966666666666667,0.3333333333333333
Highly Specific,299,187.0,0.13125030400560678,0.8510465551126262,0.5807853034354469,0.6006688963210702,0.9967687642771893,0.802675585284281,0.07357859531772576
Ambiguous,299,492.0,0.08299055770662712,0.8175020380465485,0.4106697747158176,0.752675585284281,0.989216263406422,0.9966555183946488,0.24414715719063546
Comparative,299,409.0,0.18856407949749854,0.8504836068158661,0.5937559733348168,0.8461538461538461,0.9970899292437562,0.9899665551839465,0.3311036789297659
Constraint-Based,294,241.0,0.1260373458828071,0.8440534618292606,0.5856056442503054,0.3622448979591837,0.9729208002645503,0.10884353741496598,0.16326530612244897
Role-Based/Expert Framing,297,441.0,0.06803382066389513,0.8146442684464704,0.3791741321774967,0.7966329966329966,0.985746189649915,0.9764309764309764,0.31313131313131315
