phrasing_type,lsa_semantic_divergence,lexical_jaccard_instability,response_length_deviation_pct,structural_deviation,recommendation_instability_proxy,claim_verification_risk_proxy,core_behavioural_sensitivity
Direct Question,0.06220843086499712,0.8035997061545538,0.12284852963422556,0.08881456707543664,0.9844356091129516,0.6959866220735785,0.3646022985371958
Conversational,0.09223751776591398,0.8202283584548886,0.10484300058427783,0.10811821922933033,0.9841779538584422,0.8080808080808081,0.4148144172486363
Formal/Professional,0.20119319127322066,0.8634116342751501,0.6716475464068227,0.16148148148148148,0.993979730661689,0.854,0.6364901984464142
Informal,0.13016394132725448,0.8397259261934186,0.38497149859949836,0.15925925925925927,0.9844962306512268,0.7016666666666667,0.5439280184257475
Conditional,0.17603857035529563,0.8469732961036439,0.10230588479292302,0.1374074074074074,0.9941789762979378,0.7656666666666666,0.5338375747529295
Highly Specific,0.13125030400560678,0.8510465551126262,0.4363275340380355,0.2430323299888517,0.9967687642771893,0.6006688963210702,0.5807853034354469
Ambiguous,0.08299055770662712,0.8175020380465485,0.1465793070143802,0.11557041991824601,0.989216263406422,0.752675585284281,0.4106697747158176
Comparative,0.18856407949749854,0.8504836068158661,0.2802921366172425,0.17391304347826086,0.9970899292437562,0.8461538461538461,0.5937559733348168
Constraint-Based,0.1260373458828071,0.8440534618292606,0.29883390221066564,0.37830687830687826,0.9729208002645503,0.3622448979591837,0.5856056442503054
Role-Based/Expert Framing,0.06803382066389513,0.8146442684464704,0.12166731255885076,0.09876543209876543,0.985746189649915,0.7966329966329966,0.3791741321774967
